id	orf	phage	mobile	integrase	transposase	hypothetical	start	end	strain
NODE_12_length_165443_cov_86.306849_N21	2	0	0	0	0	2	102155	112508	+
NODE_14_length_156768_cov_82.035470_N31	30	0	0	0	0	23	89857	109002	+
NODE_15_length_151100_cov_77.954111_N10	37	0	0	0	0	15	38890	72375	+
NODE_16_length_149414_cov_125.225090_N4	17	0	0	0	0	3	16155	29775	+
NODE_19_length_133105_cov_113.178263_N1	48	6	0	0	0	39	1	31880	+
NODE_22_length_119965_cov_117.333125_N18	73	21	0	2	0	51	75058	119965	+
NODE_27_length_82320_cov_96.680180_N13	68	21	0	0	0	45	41967	82320	+
NODE_29_length_74371_cov_98.125734_N4	29	4	0	0	0	24	10796	24173	+
NODE_3_length_395233_cov_139.765767_N20	34	0	0	0	0	18	93287	114832	+
NODE_3_length_395233_cov_139.765767_N41	23	0	0	0	0	15	247035	266453	+
NODE_8_length_234747_cov_108.693151_N5	18	0	0	0	0	6	17066	31659	+
NODE_9_length_205365_cov_117.776766_N38	15	1	0	2	0	10	139426	159683	+
